СЧЁТЧИКИ: 40 прогонов по 30 дней, среднее за жизнь ± половина 95%-интервала
  выжило                      1.32 ± 0.28
  помощи                      8.05 ± 0.92
  отказов                    17.98 ± 1.78
  лечений_соседа              2.38 ± 0.53
  лечений_впустую             0.97 ± 0.35
  лечений_за_плату            1.10 ± 0.37
  лечений_в_долг              0.12 ± 0.13
  обменов                    18.90 ± 1.62
  сделок_сорвалось           12.10 ± 1.12
  сделок_отклонено           28.77 ± 2.30
  продаж                      4.17 ± 0.58
  отъёмов                     1.73 ± 0.56
  попыток_кражи               5.53 ± 1.03
  краж                        2.27 ± 0.48
  краж_сорвано                3.25 ± 0.69
  налётов                     3.88 ± 0.36
  исход_занял                 0.05 ± 0.07
  исход_ограблен              0.53 ± 0.21
  исход_отбился               1.10 ± 0.27
  исход_откупился             0.57 ± 0.24
  исход_переубедил            0.60 ± 0.21
  исход_сбежал                0.55 ± 0.24
  исход_убит                  0.15 ± 0.11
  исход_ушли_на_крик          0.33 ± 0.16
  ложных_обвинений            0.95 ± 0.43
  работ_на_заказ              2.38 ± 0.28
  заказ_буржуйка              1.35 ± 0.17
  заказ_генератор             0.12 ± 0.10
  заказ_листы                 0.65 ± 0.26
  заказ_стены                 0.25 ± 0.14
  вранья                     15.72 ± 1.53
  вранья_раскрыто             5.42 ± 0.75
  наговоров                   7.70 ± 1.02
  союзов_заключено            1.68 ± 0.27
  переездов                   0.90 ± 0.18
  съездов                     0.17 ± 0.12
  убийств                     0.65 ± 0.25
  убийств_соседа              0.10 ± 0.09
  смертей                     3.83 ± 0.33
  смертей_детей               0.25 ± 0.14
  предупреждений              1.07 ± 0.35
  зовов_отказано              1.98 ± 0.44
  защитников                  2.58 ± 0.73
  криков                      3.23 ± 0.37
  подбросов                   0.80 ± 0.29
